uai,nom,type_etab,secteur,academie,departement,commune,ips,lat,lon,n_profs,n_profs_taught,n_profs_tested_only,n_eleves,n_eleves_uniq,n_sessions,n_tests,sy_set
0830050D,Lycée général et technologique Beaussier,lycee,Public,Nice,Var,La Seyne-sur-Mer,108.4,43.100072844126316,5.8783155783849335,1,1,0,18,18,1,0,2025-2026
0831559U,Lycée polyvalent Maurice Janetti,lycee,Public,Nice,Var,Saint-Maximin-la-Sainte-Baume,113.9,43.45702617700875,5.8569990548037305,1,0,1,0,0,0,1,2023-2024
0840001V,Lycée polyvalent CHARLES DE GAULLE,lycee,Public,Aix-Marseille,Vaucluse,Apt,99.5,43.87620539295645,5.4000690452277,1,1,0,3,3,3,0,2023-2024
0840003X,Lycée général et technologique Frédéric Mistral,lycee,Public,Aix-Marseille,Vaucluse,Avignon,112.9,43.94722102577662,4.8015709342022594,1,1,0,24,24,3,1,2024-2025
0890005X,Lycée polyvalent Fourier Saint-Germain,lycee,Public,Dijon,Yonne,Auxerre,95.5,47.791452231543886,3.5517209913190477,1,1,0,6,6,2,1,2025-2026
0910625K,Lycée général et technologique Rosa Parks,lycee,Public,Versailles,Essonne,Montgeron,109.0,48.704853889908485,2.453640007118009,1,1,0,38,26,4,0,2024-2025
0910626L,Lycée général et technologique Blaise Pascal,lycee,Public,Versailles,Essonne,Orsay,150.9,48.69577509777111,2.1862962374489117,2,1,1,65,65,9,4,2024-2025|2025-2026
0910727W,"Lycée polyvalent Parc de Vilgenis, lycée des métiers du numérique, de l'industrie et des services",lycee,Public,Versailles,Essonne,Massy,111.6,48.73154786458686,2.254524266984075,2,2,0,71,71,5,1,2025-2026
0911632E,Lycée général et technologique René Cassin,lycee,Public,Versailles,Essonne,Arpajon,122.6,48.58009042813943,2.2447813766054168,1,1,0,1,1,1,0,2025-2026
0911913K,Lycée général et technologique Vallée de Chevreuse,lycee,Public,Versailles,Essonne,Gif-sur-Yvette,145.1,48.70042148470852,2.0973454992825578,1,1,0,60,60,5,2,2025-2026
0920136Y,Lycée polyvalent Newton-Enrea,lycee,Public,Versailles,Hauts-de-Seine,Clichy,94.3,48.90905297767566,2.3068998920632153,1,1,0,14,14,3,2,2025-2026
